# Starting Date: Thu Jul 25 09:09:23 AEST 2019
# Termination Date: Thu Jul 25 09:09:24 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/NO-OV
# File: CeO2-02.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17658.7448536890 	 15	 	 0.023097 NO	 	 0.004264 NO	 	 0.000000 	 	 0.000000 
 	 2 	 -17660.2253685220 	 14	 	 0.018906 NO	 	 0.003360 NO	 	 0.402819 NO	 	 0.062257 NO
 	 3 	 -17660.2264915650 	 23	 	 0.055702 NO	 	 0.007946 NO	 	 0.145053 NO	 	 0.015564 NO
 	 4 	 -17660.2331463080 	 11	 	 0.036581 NO	 	 0.005450 NO	 	 0.180373 NO	 	 0.031129 NO
 	 5 	 -17660.2387735150 	 25	 	 0.010714 NO	 	 0.001964 NO	 	 0.248233 NO	 	 0.031129 NO
 	 6 	 -17660.2431610670 	 18	 	 0.012288 NO	 	 0.002474 NO	 	 0.277628 NO	 	 0.031129 NO
 	 7 	 -17660.2458197800 	 13	 	 0.014322 NO	 	 0.002155 NO	 	 0.457559 NO	 	 0.062257 NO
xxx 	 8 	 -17660.2440471380 	 19	 	 0.014322 NO	 	 0.002155 NO	 	 0.105852 NO	 	 0.015564 NO
 	 9 	 -17660.2473639290 	 21	 	 0.007915 NO	 	 0.001481 NO	 	 0.118592 NO	 	 0.015564 NO
 	 10 	 -17660.2485078020 	 11	 	 0.011935 NO	 	 0.001610 NO	 	 0.083186 NO	 	 0.015564 NO
 	 11 	 -17660.2496471680 	 12	 	 0.008608 NO	 	 0.001517 NO	 	 0.088195 NO	 	 0.015564 NO
 	 12 	 -17660.2510458880 	 13	 	 0.005281 NO	 	 0.001190 NO	 	 0.177604 NO	 	 0.031129 NO
 	 13 	 -17660.2546681790 	 14	 	 0.011422 NO	 	 0.001723 NO	 	 0.282735 NO	 	 0.031129 NO
 	 14 	 -17660.2550592330 	 14	 	 0.009582 NO	 	 0.001789 NO	 	 0.156545 NO	 	 0.031129 NO
 	 15 	 -17660.2563080560 	 14	 	 0.010294 NO	 	 0.001958 NO	 	 0.150205 NO	 	 0.031129 NO
 	 16 	 -17660.2570579660 	 13	 	 0.014319 NO	 	 0.002395 NO	 	 0.205158 NO	 	 0.031129 NO
 	 17 	 -17660.2577869560 	 16	 	 0.011515 NO	 	 0.001968 NO	 	 0.186886 NO	 	 0.031129 NO
 	 18 	 -17660.2583672730 	 12	 	 0.012910 NO	 	 0.001755 NO	 	 0.176425 NO	 	 0.031129 NO
 	 19 	 -17660.2589494540 	 14	 	 0.018549 NO	 	 0.002424 NO	 	 0.051246 NO	 	 0.007782 NO
# Done!
