# Starting Date: Wed Jul 17 18:28:17 AEST 2019
# Termination Date: Wed Jul 17 18:28:18 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/OV-Original-Input-Geometry/NEAR-OV-H3O+
# File: CeO2-22.out
# Cycle Number | Total Energy (Ha) | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17583.5262948300	 0.000874 NO	 	 0.000142 YES	 	 0.000000 	 	 0.000000 
 	 2 	 -17584.9952260690	 0.000874 NO	 	 0.000142 YES	 	 0.072940 NO	 	 0.007828 NO
 	 3 	 -17584.9963631250	 0.000874 NO	 	 0.000142 YES	 	 0.015939 NO	 	 0.001957 NO
 	 4 	 -17584.9964326480	 0.000717 NO	 	 0.000120 YES	 	 0.032833 NO	 	 0.003914 NO
 	 5 	 -17584.9964339640	 0.001047 NO	 	 0.000146 YES	 	 0.007560 NO	 	 0.000978 YES
 	 6 	 -17584.9964541160	 0.000772 NO	 	 0.000118 YES	 	 0.011197 NO	 	 0.001957 NO
 	 7 	 -17584.9964761210	 0.000262 YES	 	 0.000067 YES	 	 0.027482 NO	 	 0.003914 NO
 	 8 	 -17584.9964760470	 0.000685 NO	 	 0.000109 YES	 	 0.006850 NO	 	 0.000978 YES
 	 9 	 -17584.9964921650	 0.000404 YES	 	 0.000096 YES	 	 0.015770 NO	 	 0.001957 NO
 	 10 	 -17584.9965104520	 0.000438 YES	 	 0.000078 YES	 	 0.024824 NO	 	 0.003914 NO
 	 11 	 -17584.9965201170	 0.000424 YES	 	 0.000108 YES	 	 0.035977 NO	 	 0.003914 NO
 	 12 	 -17584.9965297700	 0.000414 YES	 	 0.000080 YES	 	 0.027054 NO	 	 0.003914 NO
 	 13 	 -17584.9965423750	 0.000390 YES	 	 0.000090 YES	 	 0.038110 NO	 	 0.003914 NO
 	 14 	 -17584.9965625890	 0.000364 YES	 	 0.000098 YES	 	 0.047052 NO	 	 0.007828 NO
 	 15 	 -17584.9965385550	 0.000364 YES	 	 0.000098 YES	 	 0.011621 NO	 	 0.001957 NO
 	 16 	 -17584.9965930040	 0.000239 YES	 	 0.000053 YES	 	 0.026488 NO	 	 0.003914 NO
 	 17 	 -17584.9966001830	 0.000819 NO	 	 0.000090 YES	 	 0.034586 NO	 	 0.007828 NO
 	 18 	 -17584.9965728820	 0.000819 NO	 	 0.000090 YES	 	 0.010967 NO	 	 0.001957 NO
 	 19 	 -17584.9966322220	 0.000369 YES	 	 0.000067 YES	 	 0.023419 NO	 	 0.003914 NO
 	 20 	 -17584.9966344790	 0.000492 NO	 	 0.000109 YES	 	 0.007728 NO	 	 0.000978 YES
 	 21 	 -17584.9966505100	 0.000461 NO	 	 0.000085 YES	 	 0.011336 NO	 	 0.001957 NO
 	 22 	 -17584.9966676320	 0.000204 YES	 	 0.000041 YES	 	 0.023301 NO	 	 0.003914 NO
 	 23 	 -17584.9966627490	 0.000204 YES	 	 0.000041 YES	 	 0.008281 NO	 	 0.000978 YES
 	 24 	 -17584.9966903850	 0.000178 YES	 	 0.000049 YES	 	 0.012447 NO	 	 0.001957 NO
 	 25 	 -17584.9967011940	 0.000252 YES	 	 0.000062 YES	 	 0.024279 NO	 	 0.003914 NO
 	 26 	 -17584.9967052410	 0.000395 YES	 	 0.000114 YES	 	 0.037754 NO	 	 0.003914 NO
 	 27 	 -17584.9967236270	 0.000336 YES	 	 0.000071 YES	 	 0.066631 NO	 	 0.007828 NO
 	 28 	 -17584.9967004200	 0.000336 YES	 	 0.000071 YES	 	 0.013950 NO	 	 0.001957 NO
 	 29 	 -17584.9967523600	 0.000196 YES	 	 0.000042 YES	 	 0.013369 NO	 	 0.001856 NO
# Done!
