# Starting Date: Sat Sep  7 15:43:45 AEST 2019
# Termination Date: Sat Sep  7 15:43:47 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/OV-Original-Input-Geometry
# File: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/OV-Original-Input-Geometry/FAR-OV-H3O+/CeO2-41.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17583.5369368700 	 10	 	 0.003233 NO	 	 0.000469 NO	 	 0.000000 	 	 0.000000 
xxx 	 2 	 -17584.9984432150 	 19	 	 0.003233 NO	 	 0.000469 NO	 	 0.068586 NO	 	 0.007828 NO
 	 3 	 -17585.0000687750 	 18	 	 0.002998 NO	 	 0.000464 NO	 	 0.013036 NO	 	 0.001957 NO
 	 4 	 -17585.0001068690 	 10	 	 0.002590 NO	 	 0.000426 NO	 	 0.028613 NO	 	 0.003914 NO
 	 5 	 -17585.0001954430 	 13	 	 0.001797 NO	 	 0.000345 NO	 	 0.050274 NO	 	 0.007828 NO
 	 6 	 -17585.0002943630 	 13	 	 0.001626 NO	 	 0.000290 YES	 	 0.056675 NO	 	 0.007828 NO
 	 7 	 -17585.0003396460 	 17	 	 0.002204 NO	 	 0.000417 NO	 	 0.037111 NO	 	 0.007828 NO
xxx 	 8 	 -17585.0003271510 	 15	 	 0.002204 NO	 	 0.000417 NO	 	 0.011816 NO	 	 0.001957 NO
 	 9 	 -17585.0003591590 	 14	 	 0.002137 NO	 	 0.000410 NO	 	 0.023488 NO	 	 0.003914 NO
 	 10 	 -17585.0004207750 	 10	 	 0.001697 NO	 	 0.000353 NO	 	 0.056490 NO	 	 0.007828 NO
 	 11 	 -17585.0004600020 	 17	 	 0.001337 NO	 	 0.000313 NO	 	 0.040338 NO	 	 0.007828 NO
 	 12 	 -17585.0004859030 	 16	 	 0.002441 NO	 	 0.000371 NO	 	 0.015430 NO	 	 0.001957 NO
 	 13 	 -17585.0005110000 	 11	 	 0.001956 NO	 	 0.000347 NO	 	 0.019472 NO	 	 0.003914 NO
 	 14 	 -17585.0005647690 	 11	 	 0.001339 NO	 	 0.000257 YES	 	 0.046415 NO	 	 0.007828 NO
 	 15 	 -17585.0005793570 	 16	 	 0.001724 NO	 	 0.000238 YES	 	 0.011920 NO	 	 0.001957 NO
 	 16 	 -17585.0006136810 	 10	 	 0.000770 NO	 	 0.000175 YES	 	 0.019340 NO	 	 0.003914 NO
 	 17 	 -17585.0006467800 	 15	 	 0.000567 NO	 	 0.000127 YES	 	 0.018370 NO	 	 0.003914 NO
 	 18 	 -17585.0006724770 	 15	 	 0.000765 NO	 	 0.000116 YES	 	 0.014340 NO	 	 0.003914 NO
 	 19 	 -17585.0006858530 	 16	 	 0.000758 NO	 	 0.000121 YES	 	 0.017341 NO	 	 0.003914 NO
 	 20 	 -17585.0007011010 	 15	 	 0.000550 NO	 	 0.000112 YES	 	 0.015981 NO	 	 0.003914 NO
 	 21 	 -17585.0007114900 	 16	 	 0.000416 YES	 	 0.000096 YES	 	 0.021227 NO	 	 0.003914 NO
 	 22 	 -17585.0007161130 	 16	 	 0.000473 NO	 	 0.000112 YES	 	 0.018597 NO	 	 0.003914 NO
 	 23 	 -17585.0007223080 	 10	 	 0.000529 NO	 	 0.000127 YES	 	 0.026317 NO	 	 0.003914 NO
 	 24 	 -17585.0007301310 	 16	 	 0.000471 NO	 	 0.000100 YES	 	 0.021052 NO	 	 0.003914 NO
 	 25 	 -17585.0007316370 	 15	 	 0.000479 NO	 	 0.000097 YES	 	 0.003881 NO	 	 0.000978 YES
 	 26 	 -17585.0007368900 	 8	 	 0.000306 YES	 	 0.000069 YES	 	 0.016671 NO	 	 0.001957 NO
 	 27 	 -17585.0007382260 	 11	 	 0.000266 YES	 	 0.000058 YES	 	 0.008821 NO	 	 0.001957 NO
 	 28 	 -17585.0007427490 	 9	 	 0.000232 YES	 	 0.000049 YES	 	 0.031958 NO	 	 0.003914 NO
xxx 	 29 	 -17585.0007382960 	 16	 	 0.000232 YES	 	 0.000049 YES	 	 0.007180 NO	 	 0.000978 YES
 	 30 	 -17585.0007447910 	 15	 	 0.000168 YES	 	 0.000041 YES	 	 0.010010 NO	 	 0.001957 NO
 	 31 	 -17585.0007463670 	 15	 	 0.000189 YES	 	 0.000036 YES	 	 0.008420 NO	 	 0.001957 NO
 	 32 	 -17585.0007464140 	 15	 	 0.000168 YES	 	 0.000034 YES	 	 0.002291 NO	 	 0.000489 YES
 	 33 	 -17585.0007474550 	 8	 	 0.000137 YES	 	 0.000025 YES	 	 0.006332 NO	 	 0.000978 YES
 	 34 	 -17585.0007475770 	 9	 	 0.000113 YES	 	 0.000024 YES	 	 0.001035 YES	 	 0.000245 YES
 	 35 	 -17585.0006981350 	 9	 	 0.000348 YES	 	 0.000061 YES	 	 0.001417 YES	 	 0.000245 YES
# Done!
