# File Starting Date: 17 05 2020 TIME 09:20:44.8
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/OV-Original-Input-Geometry/option5/1Ce3+
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/OV-Original-Input-Geometry/option5/1Ce3+/CeO2-04.out
# TOLDEE: 6
# MAXCYCLE: 1024
# FMIXING: 90
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 1 	 -17585.1334700260 	 13	 0.001611 NO	 0.000320 NO	 0.000000 	 0.000000 	           0.000
xxx 	 2 	 -17585.1325709030 	 9	 0.001611 NO	 0.000320 NO	 0.043958 NO	 0.007828 NO	           0.125
 	 3 	 -17585.1334851630 	 11	 0.001599 NO	 0.000338 NO	 0.010983 NO	 0.001957 NO	           0.031
 	 4 	 -17585.1335417660 	 13	 0.001406 NO	 0.000288 YES	 0.022705 NO	 0.003914 NO	           0.062
 	 5 	 -17585.1336054710 	 13	 0.001429 NO	 0.000255 YES	 0.034068 NO	 0.003914 NO	           0.062
 	 6 	 -17585.1336464030 	 13	 0.000864 NO	 0.000250 YES	 0.022636 NO	 0.003914 NO	           0.062
 	 7 	 -17585.1336799290 	 13	 0.001517 NO	 0.000255 YES	 0.026525 NO	 0.003914 NO	           0.062
 	 8 	 -17585.1337011040 	 12	 0.001250 NO	 0.000210 YES	 0.015571 NO	 0.003914 NO	           0.062
 	 9 	 -17585.1337224420 	 8	 0.000761 NO	 0.000152 YES	 0.022813 NO	 0.003914 NO	           0.062
 	 10 	 -17585.1337315900 	 8	 0.000733 NO	 0.000183 YES	 0.004373 NO	 0.000978 YES	           0.016
 	 11 	 -17585.1337419690 	 7	 0.000599 NO	 0.000155 YES	 0.010773 NO	 0.001957 NO	           0.031
 	 12 	 -17585.1337561960 	 7	 0.000593 NO	 0.000085 YES	 0.010147 NO	 0.001957 NO	           0.031
 	 13 	 -17585.1337638780 	 6	 0.000533 NO	 0.000085 YES	 0.009153 NO	 0.001957 NO	           0.031
 	 14 	 -17585.1337717220 	 6	 0.000468 NO	 0.000074 YES	 0.020249 NO	 0.003914 NO	           0.062
 	 15 	 -17585.1337803630 	 7	 0.000433 YES	 0.000078 YES	 0.017115 NO	 0.003914 NO	           0.062
 	 16 	 -17585.1337879330 	 7	 0.000351 YES	 0.000090 YES	 0.018754 NO	 0.003914 NO	           0.062
 	 17 	 -17585.1337939180 	 8	 0.000423 YES	 0.000080 YES	 0.024043 NO	 0.003914 NO	           0.062
 	 18 	 -17585.1337941980 	 7	 0.000442 YES	 0.000088 YES	 0.004785 NO	 0.000978 YES	           0.016
xxx 	 19 	 -17585.1337934080 	 3	 0.000442 YES	 0.000088 YES	 0.001337 YES	 0.000245 YES	           0.004
 	 20 	 -17585.1335836280 	 8	 0.000379 YES	 0.000090 YES	 0.001230 YES	 0.000245 YES	           0.000
# Done!
