# Starting Date: Wed Jul 31 08:25:51 AEST 2019
# Termination Date: Wed Jul 31 08:25:53 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/NO-OV
# File: CeO2-04.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17657.8766752840 	 6	 	 0.000985 NO	 	 0.000193 YES	 	 0.000000 	 	 0.000000 
xxx 	 2 	 -17659.3535906230 	 7	 	 0.000985 NO	 	 0.000193 YES	 	 0.069603 NO	 	 0.007874 NO
 	 3 	 -17659.3543265150 	 8	 	 0.001481 NO	 	 0.000264 YES	 	 0.072362 NO	 	 0.007874 NO
xxx 	 4 	 -17659.3543239570 	 7	 	 0.001481 NO	 	 0.000264 YES	 	 0.016046 NO	 	 0.001969 NO
 	 5 	 -17659.3543447700 	 5	 	 0.001796 NO	 	 0.000283 YES	 	 0.011525 NO	 	 0.001969 NO
 	 6 	 -17659.3543719170 	 4	 	 0.001411 NO	 	 0.000215 YES	 	 0.032185 NO	 	 0.003937 NO
 	 7 	 -17659.3543749750 	 4	 	 0.000954 NO	 	 0.000147 YES	 	 0.004959 NO	 	 0.000984 YES
 	 8 	 -17659.3543885680 	 3	 	 0.000799 NO	 	 0.000125 YES	 	 0.017330 NO	 	 0.001969 NO
 	 9 	 -17659.3543992600 	 3	 	 0.000563 NO	 	 0.000106 YES	 	 0.013745 NO	 	 0.001969 NO
 	 10 	 -17659.3544112650 	 4	 	 0.000392 YES	 	 0.000087 YES	 	 0.031486 NO	 	 0.003937 NO
 	 11 	 -17659.3544132760 	 4	 	 0.000594 NO	 	 0.000117 YES	 	 0.007110 NO	 	 0.000984 YES
 	 12 	 -17659.3544226850 	 4	 	 0.000417 YES	 	 0.000091 YES	 	 0.016044 NO	 	 0.001969 NO
 	 13 	 -17659.3544272720 	 4	 	 0.000216 YES	 	 0.000066 YES	 	 0.011007 NO	 	 0.001969 NO
 	 14 	 -17659.3544323760 	 4	 	 0.000284 YES	 	 0.000062 YES	 	 0.013898 NO	 	 0.001969 NO
 	 15 	 -17659.3544336340 	 4	 	 0.000321 YES	 	 0.000060 YES	 	 0.002093 NO	 	 0.000492 YES
 	 16 	 -17659.3544358910 	 3	 	 0.000232 YES	 	 0.000050 YES	 	 0.006467 NO	 	 0.000984 YES
 	 17 	 -17659.3544377230 	 3	 	 0.000168 YES	 	 0.000043 YES	 	 0.004942 NO	 	 0.000984 YES
 	 18 	 -17659.3544391310 	 3	 	 0.000127 YES	 	 0.000040 YES	 	 0.006904 NO	 	 0.000984 YES
 	 19 	 -17659.3544403300 	 3	 	 0.000120 YES	 	 0.000034 YES	 	 0.004423 NO	 	 0.000984 YES
 	 20 	 -17659.3544413630 	 4	 	 0.000170 YES	 	 0.000035 YES	 	 0.005617 NO	 	 0.000984 YES
 	 21 	 -17659.3544418440 	 3	 	 0.000119 YES	 	 0.000029 YES	 	 0.004727 NO	 	 0.000984 YES
 	 22 	 -17659.3544421230 	 3	 	 0.000114 YES	 	 0.000026 YES	 	 0.002194 NO	 	 0.000246 YES
 	 23 	 -17659.3544427610 	 3	 	 0.000078 YES	 	 0.000018 YES	 	 0.002430 NO	 	 0.000492 YES
 	 24 	 -17659.3544434130 	 3	 	 0.000045 YES	 	 0.000014 YES	 	 0.006167 NO	 	 0.000984 YES
 	 25 	 -17659.3544433410 	 3	 	 0.000152 YES	 	 0.000027 YES	 	 0.001367 YES	 	 0.000246 YES
 	 26 	 -17659.3542639130 	 3	 	 0.000297 YES	 	 0.000051 YES	 	 0.002040 NO	 	 0.000246 YES
 	 27 	 -17659.3542643910 	 3	 	 0.000248 YES	 	 0.000045 YES	 	 0.003607 NO	 	 0.000492 YES
 	 28 	 -17659.3542648900 	 3	 	 0.000198 YES	 	 0.000037 YES	 	 0.002192 NO	 	 0.000492 YES
 	 29 	 -17659.3542659330 	 3	 	 0.000137 YES	 	 0.000025 YES	 	 0.007249 NO	 	 0.000984 YES
xxx 	 30 	 -17659.3542656730 	 3	 	 0.000137 YES	 	 0.000025 YES	 	 0.002070 NO	 	 0.000246 YES
 	 31 	 -17659.3542661150 	 3	 	 0.000106 YES	 	 0.000021 YES	 	 0.001914 NO	 	 0.000246 YES
 	 32 	 -17659.3542664090 	 3	 	 0.000077 YES	 	 0.000018 YES	 	 0.002264 NO	 	 0.000492 YES
 	 33 	 -17659.3542664410 	 3	 	 0.000071 YES	 	 0.000016 YES	 	 0.000659 YES	 	 0.000123 YES
 	 34 	 -17659.3542209020 	 3	 	 0.000305 YES	 	 0.000046 YES	 	 0.000657 YES	 	 0.000123 YES
# Done!
