# Starting Date: Mon Nov 25 21:46:54 AEDT 2019
# Termination Date: Mon Nov 25 21:47:00 AEDT 2019
# Time Used: 00:06
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/NO-OV/option2
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/NO-OV/option2/CeO2-07.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 24 	 -17659.3520361800 	 8	 	 0.003172 NO	 	 0.000495 NO	 	 0.006311 NO	 	 0.000984 YES	           0.016
 	 25 	 -17659.3522096930 	 7	 	 0.001745 NO	 	 0.000331 NO	 	 0.007703 NO	 	 0.000984 YES	           0.000
 	 26 	 -17659.3522566240 	 8	 	 0.001776 NO	 	 0.000309 NO	 	 0.015413 NO	 	 0.001969 NO	           0.031
 	 27 	 -17659.3523353430 	 7	 	 0.001725 NO	 	 0.000274 YES	 	 0.024098 NO	 	 0.003937 NO	           0.062
 	 28 	 -17659.3524763690 	 9	 	 0.001573 NO	 	 0.000261 YES	 	 0.053718 NO	 	 0.007874 NO	           0.125
 	 29 	 -17659.3526196280 	 11	 	 0.001785 NO	 	 0.000328 NO	 	 0.095218 NO	 	 0.015749 NO	           0.250
xxx 	 30 	 -17659.3524734890 	 11	 	 0.001785 NO	 	 0.000328 NO	 	 0.024729 NO	 	 0.003937 NO	           0.062
 	 31 	 -17659.3526896380 	 11	 	 0.001695 NO	 	 0.000311 NO	 	 0.020637 NO	 	 0.003937 NO	           0.062
 	 32 	 -17659.3527453700 	 9	 	 0.001080 NO	 	 0.000223 YES	 	 0.053146 NO	 	 0.007874 NO	           0.125
 	 33 	 -17659.3528310010 	 9	 	 0.001020 NO	 	 0.000183 YES	 	 0.086424 NO	 	 0.015749 NO	           0.250
 	 34 	 -17659.3529275430 	 11	 	 0.001203 NO	 	 0.000264 YES	 	 0.086571 NO	 	 0.015749 NO	           0.250
 	 35 	 -17659.3529397660 	 11	 	 0.001906 NO	 	 0.000396 NO	 	 0.023479 NO	 	 0.003937 NO	           0.062
