# File Starting Date: 14 05 2020 TIME 21:51:02.5
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/option2/ATOMREMO/0Ce3+
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/option2/ATOMREMO/0Ce3+/CeO2-03.out
# TOLDEE: 6
# MAXCYCLE: 1024
# FMIXING: 90
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(4.00000)
 	 1 	 -17583.8025733400 	 6	 0.013592 NO	 0.002431 NO	 0.000000 	 0.000000 	           0.000
 	 2 	 -17583.8031372560 	 10	 0.014274 NO	 0.002681 NO	 0.067327 NO	 0.007922 NO	           0.125
 	 3 	 -17583.8037981480 	 7	 0.014468 NO	 0.002632 NO	 0.076484 NO	 0.015843 NO	           0.250
 	 4 	 -17583.8060107640 	 9	 0.012268 NO	 0.001585 NO	 0.113810 NO	 0.015843 NO	           0.250
 	 5 	 -17583.8065864460 	 8	 0.006989 NO	 0.001237 NO	 0.115620 NO	 0.015843 NO	           0.250
 	 6 	 -17583.8071436200 	 9	 0.006511 NO	 0.001263 NO	 0.104265 NO	 0.015843 NO	           0.250
 	 7 	 -17583.8074609180 	 9	 0.018915 NO	 0.002439 NO	 0.043305 NO	 0.003961 NO	           0.062
 	 8 	 -17583.8078287420 	 7	 0.014136 NO	 0.002139 NO	 0.050599 NO	 0.007922 NO	           0.125
 	 9 	 -17583.8087663290 	 8	 0.004682 NO	 0.000857 NO	 0.125418 NO	 0.015843 NO	           0.250
 	 10 	 -17583.8090421910 	 8	 0.006883 NO	 0.001090 NO	 0.086874 NO	 0.015843 NO	           0.250
 	 11 	 -17583.8094548780 	 8	 0.009396 NO	 0.001288 NO	 0.096666 NO	 0.015843 NO	           0.250
 	 12 	 -17583.8096797610 	 8	 0.012969 NO	 0.001393 NO	 0.102581 NO	 0.015843 NO	           0.250
 	 13 	 -17583.8098832360 	 7	 0.006194 NO	 0.000968 NO	 0.094500 NO	 0.015843 NO	           0.250
 	 14 	 -17583.8100226960 	 9	 0.005858 NO	 0.000840 NO	 0.073230 NO	 0.015843 NO	           0.250
 	 15 	 -17583.8101615590 	 9	 0.005082 NO	 0.000901 NO	 0.025911 NO	 0.003961 NO	           0.062
 	 16 	 -17583.8102601940 	 7	 0.005239 NO	 0.000865 NO	 0.038930 NO	 0.007922 NO	           0.125
 	 17 	 -17583.8105145350 	 8	 0.005045 NO	 0.000687 NO	 0.048296 NO	 0.007922 NO	           0.125
 	 18 	 -17583.8106006870 	 7	 0.004063 NO	 0.000558 NO	 0.039913 NO	 0.007922 NO	           0.125
 	 19 	 -17583.8106951150 	 8	 0.003229 NO	 0.000569 NO	 0.046942 NO	 0.007922 NO	           0.125
 	 20 	 -17583.8108361450 	 8	 0.002660 NO	 0.000576 NO	 0.041147 NO	 0.007922 NO	           0.125
 	 21 	 -17583.8109737290 	 7	 0.002493 NO	 0.000465 NO	 0.051315 NO	 0.007922 NO	           0.125
 	 22 	 -17583.8110555740 	 9	 0.002544 NO	 0.000539 NO	 0.040022 NO	 0.007922 NO	           0.125
 	 23 	 -17583.8111850390 	 8	 0.001524 NO	 0.000371 NO	 0.038712 NO	 0.007922 NO	           0.125
 	 24 	 -17583.8112299290 	 8	 0.002128 NO	 0.000482 NO	 0.042059 NO	 0.007922 NO	           0.125
 	 25 	 -17583.8112523250 	 7	 0.002954 NO	 0.000541 NO	 0.039329 NO	 0.007922 NO	           0.125
 	 26 	 -17583.8112895580 	 4	 0.003207 NO	 0.000524 NO	 0.060634 NO	 0.007922 NO	           0.125
 	 27 	 -17583.8113420580 	 7	 0.003823 NO	 0.000521 NO	 0.050724 NO	 0.007922 NO	           0.125
 	 28 	 -17583.8113852820 	 7	 0.001788 NO	 0.000417 NO	 0.032741 NO	 0.007922 NO	           0.125
 	 29 	 -17583.8114026020 	 4	 0.001366 NO	 0.000306 NO	 0.015552 NO	 0.001980 NO	           0.031
 	 30 	 -17583.8114483220 	 6	 0.000944 NO	 0.000224 YES	 0.016432 NO	 0.003961 NO	           0.062
 	 31 	 -17583.8114834370 	 7	 0.001597 NO	 0.000211 YES	 0.039510 NO	 0.007922 NO	           0.125
 	 32 	 -17583.8114931990 	 7	 0.001963 NO	 0.000327 NO	 0.028778 NO	 0.005883 NO	           0.125
 	 33 	 -17583.8115032320 	 4	 0.001946 NO	 0.000335 NO	 0.020609 NO	 0.005212 NO	           0.125
 	 34 	 -17583.8115278870 	 6	 0.001372 NO	 0.000231 YES	 0.018095 NO	 0.003480 NO	           0.250
 	 35 	 -17583.8115424090 	 7	 0.001193 NO	 0.000155 YES	 0.017211 NO	 0.004384 NO	           0.500
 	 36 	 -17583.8115512770 	 7	 0.001326 NO	 0.000165 YES	 0.016336 NO	 0.003195 NO	           0.500
 	 37 	 -17583.8115622020 	 6	 0.000786 NO	 0.000140 YES	 0.011540 NO	 0.002714 NO	           1.000
 	 38 	 -17583.8115709150 	 6	 0.000394 YES	 0.000099 YES	 0.010056 NO	 0.002221 NO	           2.000
 	 39 	 -17583.8115742820 	 4	 0.000489 NO	 0.000090 YES	 0.008707 NO	 0.002134 NO	           4.000
 	 40 	 -17583.8115786740 	 7	 0.000406 YES	 0.000078 YES	 0.007657 NO	 0.001467 NO	           4.000
 	 41 	 -17583.8115820670 	 3	 0.000203 YES	 0.000052 YES	 0.004004 NO	 0.000973 YES	           4.000
 	 42 	 -17583.8115843200 	 6	 0.000240 YES	 0.000050 YES	 0.004333 NO	 0.000905 YES	           4.000
 	 43 	 -17583.8115865090 	 4	 0.000284 YES	 0.000049 YES	 0.003934 NO	 0.000976 YES	           4.000
 	 44 	 -17583.8115879370 	 4	 0.000125 YES	 0.000034 YES	 0.003152 NO	 0.000708 YES	           4.000
 	 45 	 -17583.8115887080 	 4	 0.000150 YES	 0.000038 YES	 0.002502 NO	 0.000480 YES	           4.000
xxx 	 46 	 -17583.8115883940 	 4	 0.000150 YES	 0.000038 YES	 0.000591 YES	 0.000120 YES	           0.002
 	 47 	 -17583.8127208470 	 5	 0.000647 NO	 0.000126 YES	 0.000806 YES	 0.000120 YES	           0.000
 	 48 	 -17583.8127226990 	 3	 0.000596 NO	 0.000106 YES	 0.001379 YES	 0.000240 YES	           0.004
 	 49 	 -17583.8127263140 	 4	 0.000484 NO	 0.000090 YES	 0.002749 NO	 0.000480 YES	           0.008
 	 50 	 -17583.8127317540 	 3	 0.000466 NO	 0.000073 YES	 0.005525 NO	 0.000960 YES	           0.015
 	 51 	 -17583.8127371830 	 4	 0.000592 NO	 0.000074 YES	 0.009843 NO	 0.001920 NO	           0.030
# Done!
