# File Starting Date: 19 05 2020 TIME 08:01:15.1
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/option2/ATOMREMO/1Ce3+
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/option2/ATOMREMO/1Ce3+/CeO2-05.out
# NOTRUSTR USED
# TOLDEE: 5
# LEVSHIFT USED
# MAXCYCLE: 1024
# FMIXING: 75
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_G.(0.00045) | RMS_G.(0.00030) | MAX_D.(0.00180) | RMS_D.(0.00120) | TRUST_R.(N/A)
 	 1 	 -17583.8835931930 	 9	 0.002906 NO	 0.000558 NO	 0.000000 	 0.000000 	           0.000
 	 2 	 -17583.8733257940 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 3 	 -17583.8818389370 	 48	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 4 	 -17583.8773910100 	 14	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 5 	 -17583.8704709070 	 20	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 6 	 -17583.8683440800 	 14	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 7 	 -17583.8688479010 	 6	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 8 	 -17583.8752423750 	 59	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 9 	 -17583.8755797040 	 13	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 10 	 -17583.8755029670 	 14	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 11 	 -17583.8752388730 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 12 	 -17583.8705298820 	 30	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 13 	 -17583.8740675750 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 14 	 -17583.8763443380 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 15 	 -17583.8779789990 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 16 	 -17583.8802790560 	 14	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 17 	 -17583.8803157680 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 18 	 -17583.8809317850 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 19 	 -17583.8804091890 	 27	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 20 	 -17583.8737964680 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 21 	 -17583.8793746190 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 22 	 -17583.8761207880 	 13	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 23 	 -17583.8813461410 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 24 	 -17583.8789159010 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 25 	 -17583.8755969310 	 13	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 26 	 -17583.8815707690 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 27 	 -17583.8821301330 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 28 	 -17583.8816393170 	 14	 0.006600 NO	 0.001287 NO	 0.413417 NO	 0.083005 NO	           0.000
 	 29 	 -17583.8802525910 	 10	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 30 	 -17583.8827895990 	 9	 0.000000 	 0.000000 	 0.000000 	 0.000000 	           0.000
 	 31 	 -17583.8830608660 	 9	 0.005783 NO	 0.000948 NO	 0.199751 NO	 0.035847 NO	           0.000
 	 32 	 -17583.8840854520 	 25	 0.003334 NO	 0.000627 NO	 0.086629 NO	 0.020613 NO	           0.000
# Done!
