# Starting Date: Thu Dec  5 18:52:33 AEDT 2019
# Termination Date: Thu Dec  5 18:52:34 AEDT 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/MIDDLE/ATOMREMO
# File: /short/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/MIDDLE/ATOMREMO/CeO2-27.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17582.6551842020 	 39	 	 0.004523 NO	 	 0.000914 NO	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17584.1164447100 	 33	 	 0.004523 NO	 	 0.000914 NO	 	 0.045746 NO	 	 0.007922 NO	           0.125
 	 3 	 -17584.1179348660 	 26	 	 0.003757 NO	 	 0.000815 NO	 	 0.075724 NO	 	 0.015843 NO	           0.250
 	 4 	 -17584.1181201880 	 17	 	 0.003453 NO	 	 0.000649 NO	 	 0.082095 NO	 	 0.015843 NO	           0.250
xxx 	 5 	 -17584.1180519930 	 11	 	 0.003453 NO	 	 0.000649 NO	 	 0.023412 NO	 	 0.003961 NO	           0.062
 	 6 	 -17584.1183062410 	 17	 	 0.003773 NO	 	 0.000706 NO	 	 0.056503 NO	 	 0.007922 NO	           0.125
 	 7 	 -17584.1184269790 	 8	 	 0.003023 NO	 	 0.000572 NO	 	 0.043753 NO	 	 0.007922 NO	           0.125
 	 8 	 -17584.1185774940 	 9	 	 0.002326 NO	 	 0.000369 NO	 	 0.055879 NO	 	 0.007922 NO	           0.125
 	 9 	 -17584.1186246200 	 18	 	 0.003098 NO	 	 0.000494 NO	 	 0.010305 NO	 	 0.001980 NO	           0.031
 	 10 	 -17584.1187062100 	 13	 	 0.002370 NO	 	 0.000388 NO	 	 0.022824 NO	 	 0.003961 NO	           0.062
 	 11 	 -17584.1188079220 	 10	 	 0.001128 NO	 	 0.000240 YES	 	 0.046777 NO	 	 0.007922 NO	           0.125
 	 12 	 -17584.1188296470 	 10	 	 0.002508 NO	 	 0.000358 NO	 	 0.009404 NO	 	 0.001980 NO	           0.031
 	 13 	 -17584.1188906610 	 10	 	 0.001979 NO	 	 0.000304 NO	 	 0.026445 NO	 	 0.003961 NO	           0.062
 	 14 	 -17584.1189626250 	 7	 	 0.001236 NO	 	 0.000222 YES	 	 0.047338 NO	 	 0.007922 NO	           0.125
 	 15 	 -17584.1190320090 	 15	 	 0.001815 NO	 	 0.000268 YES	 	 0.051296 NO	 	 0.007922 NO	           0.125
 	 16 	 -17584.1191011600 	 10	 	 0.001437 NO	 	 0.000273 YES	 	 0.036762 NO	 	 0.007922 NO	           0.125
 	 17 	 -17584.1191605080 	 10	 	 0.001619 NO	 	 0.000298 YES	 	 0.038300 NO	 	 0.007922 NO	           0.125
 	 18 	 -17584.1192338240 	 9	 	 0.002301 NO	 	 0.000312 NO	 	 0.046227 NO	 	 0.007922 NO	           0.125
xxx 	 19 	 -17584.1192288320 	 9	 	 0.002301 NO	 	 0.000312 NO	 	 0.009930 NO	 	 0.001980 NO	           0.031
 	 20 	 -17584.1192517440 	 9	 	 0.002309 NO	 	 0.000335 NO	 	 0.026658 NO	 	 0.003961 NO	           0.062
 	 21 	 -17584.1193027880 	 9	 	 0.001022 NO	 	 0.000196 YES	 	 0.041202 NO	 	 0.007922 NO	           0.125
# Done!
