# Starting Date: Fri Dec  6 11:17:28 AEDT 2019
# Termination Date: Fri Dec  6 11:17:29 AEDT 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/MIDDLE/ATOMREMO
# File: /short/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/MIDDLE/ATOMREMO/CeO2-28.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17582.6563570890 	 5	 	 0.000947 NO	 	 0.000213 YES	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17584.1173251010 	 14	 	 0.000947 NO	 	 0.000213 YES	 	 0.054583 NO	 	 0.007922 NO	           0.125
xxx 	 3 	 -17584.1195945760 	 17	 	 0.000947 NO	 	 0.000213 YES	 	 0.013113 NO	 	 0.001980 NO	           0.031
xxx 	 4 	 -17584.1198132620 	 10	 	 0.000947 NO	 	 0.000213 YES	 	 0.003268 NO	 	 0.000495 YES	           0.008
xxx 	 5 	 -17584.1197605040 	 11	 	 0.000947 NO	 	 0.000213 YES	 	 0.000752 YES	 	 0.000124 YES	           0.002
xxx 	 6 	 -17584.1197856810 	 11	 	 0.000947 NO	 	 0.000213 YES	 	 0.000147 YES	 	 0.000031 YES	           0.000
xxx 	 7 	 -17584.1197674330 	 11	 	 0.000947 NO	 	 0.000213 YES	 	 0.000029 YES	 	 0.000008 YES	           0.000
xxx 	 8 	 -17584.1197838730 	 10	 	 0.000947 NO	 	 0.000213 YES	 	 0.000008 YES	 	 0.000002 YES	           0.000
xxx 	 9 	 -17584.1197549610 	 11	 	 0.000947 NO	 	 0.000213 YES	 	 0.000349 YES	 	 0.000063 YES	           0.000
 	 10 	 -17584.1197868820 	 11	 	 0.001082 NO	 	 0.000298 YES	 	 0.000259 YES	 	 0.000063 YES	           0.000
xxx 	 11 	 -17584.1197698380 	 11	 	 0.001082 NO	 	 0.000298 YES	 	 0.000059 YES	 	 0.000016 YES	           0.000
 	 12 	 -17584.1197958520 	 11	 	 0.001050 NO	 	 0.000286 YES	 	 0.000119 YES	 	 0.000032 YES	           0.000
xxx 	 13 	 -17584.1197746340 	 11	 	 0.001050 NO	 	 0.000286 YES	 	 0.000030 YES	 	 0.000008 YES	           0.000
xxx 	 14 	 -17584.1197948550 	 10	 	 0.001050 NO	 	 0.000286 YES	 	 0.000007 YES	 	 0.000002 YES	           0.000
xxx 	 15 	 -17584.1197560470 	 11	 	 0.001050 NO	 	 0.000286 YES	 	 0.000242 YES	 	 0.000063 YES	           0.000
 	 16 	 -17584.1197898200 	 11	 	 0.001102 NO	 	 0.000284 YES	 	 0.000247 YES	 	 0.000063 YES	           0.000
xxx 	 17 	 -17584.1197536290 	 11	 	 0.001102 NO	 	 0.000284 YES	 	 0.000062 YES	 	 0.000016 YES	           0.000
 	 18 	 -17584.1197903460 	 11	 	 0.001096 NO	 	 0.000284 YES	 	 0.000068 YES	 	 0.000016 YES	           0.000
# Done!
