# Starting Date: Tue Jul 23 15:15:16 AEST 2019
# Termination Date: Tue Jul 23 15:15:17 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-OH--8H2O/OV-Original-Input-Geometry/NEAR-OV-OH-
# File: CeO2-36.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17582.6325531420 	 6	 	 0.000538 NO	 	 0.000053 YES	 	 0.000000 	 	 0.000000 
xxx 	 2 	 -17584.0947941500 	 21	 	 0.000538 NO	 	 0.000053 YES	 	 0.053291 NO	 	 0.007922 NO
xxx 	 3 	 -17584.0963788660 	 19	 	 0.000538 NO	 	 0.000053 YES	 	 0.010629 NO	 	 0.001980 NO
xxx 	 4 	 -17584.0964778560 	 12	 	 0.000538 NO	 	 0.000053 YES	 	 0.003436 NO	 	 0.000495 YES
xxx 	 5 	 -17584.0964847040 	 9	 	 0.000538 NO	 	 0.000053 YES	 	 0.000881 YES	 	 0.000124 YES
 	 6 	 -17584.0964848710 	 6	 	 0.000550 NO	 	 0.000053 YES	 	 0.000138 YES	 	 0.000031 YES
 	 7 	 -17584.0964850110 	 7	 	 0.000555 NO	 	 0.000053 YES	 	 0.000280 YES	 	 0.000062 YES
 	 8 	 -17584.0964853180 	 6	 	 0.000562 NO	 	 0.000053 YES	 	 0.000870 YES	 	 0.000124 YES
 	 9 	 -17584.0964856920 	 7	 	 0.000575 NO	 	 0.000053 YES	 	 0.001846 NO	 	 0.000248 YES
 	 10 	 -17584.0964860960 	 7	 	 0.000597 NO	 	 0.000056 YES	 	 0.001331 YES	 	 0.000248 YES
 	 11 	 -17584.0964860400 	 8	 	 0.000598 NO	 	 0.000058 YES	 	 0.000414 YES	 	 0.000062 YES
xxx 	 12 	 -17584.0964831120 	 3	 	 0.000598 NO	 	 0.000058 YES	 	 0.000105 YES	 	 0.000015 YES
 	 13 	 -17584.0964859800 	 10	 	 0.000604 NO	 	 0.000058 YES	 	 0.000017 YES	 	 0.000004 YES
 	 14 	 -17584.0964861380 	 9	 	 0.000599 NO	 	 0.000058 YES	 	 0.000039 YES	 	 0.000008 YES
 	 15 	 -17584.0964862270 	 6	 	 0.000594 NO	 	 0.000057 YES	 	 0.000089 YES	 	 0.000015 YES
xxx 	 16 	 -17584.0964845780 	 3	 	 0.000594 NO	 	 0.000057 YES	 	 0.000025 YES	 	 0.000004 YES
 	 17 	 -17584.0964862450 	 10	 	 0.000595 NO	 	 0.000056 YES	 	 0.000033 YES	 	 0.000004 YES
 	 18 	 -17584.0964863380 	 7	 	 0.000588 NO	 	 0.000055 YES	 	 0.000076 YES	 	 0.000008 YES
 	 19 	 -17584.0964864470 	 6	 	 0.000581 NO	 	 0.000054 YES	 	 0.000161 YES	 	 0.000015 YES
 	 20 	 -17584.0964866210 	 4	 	 0.000570 NO	 	 0.000051 YES	 	 0.000344 YES	 	 0.000031 YES
 	 21 	 -17584.0964869750 	 7	 	 0.000540 NO	 	 0.000047 YES	 	 0.000471 YES	 	 0.000062 YES
xxx 	 22 	 -17584.0964867290 	 3	 	 0.000540 NO	 	 0.000047 YES	 	 0.000130 YES	 	 0.000015 YES
 	 23 	 -17584.0964870950 	 10	 	 0.000534 NO	 	 0.000046 YES	 	 0.000225 YES	 	 0.000031 YES
 	 24 	 -17584.0964873390 	 6	 	 0.000518 NO	 	 0.000044 YES	 	 0.000602 YES	 	 0.000062 YES
 	 25 	 -17584.0964877750 	 4	 	 0.000479 NO	 	 0.000040 YES	 	 0.000623 YES	 	 0.000124 YES
 	 26 	 -17584.0964879440 	 7	 	 0.000470 NO	 	 0.000038 YES	 	 0.002331 NO	 	 0.000248 YES
xxx 	 27 	 -17584.0964844020 	 3	 	 0.000470 NO	 	 0.000038 YES	 	 0.000667 YES	 	 0.000062 YES
 	 28 	 -17584.0964880210 	 12	 	 0.000441 YES	 	 0.000035 YES	 	 0.000149 YES	 	 0.000015 YES
 	 29 	 -17584.0964657840 	 8	 	 0.000430 YES	 	 0.000046 YES	 	 0.000162 YES	 	 0.000015 YES
# Done!
