# Starting Date: Sun Sep  8 09:05:43 AEST 2019
# Termination Date: Sun Sep  8 09:05:45 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/NO-OV/test
# File: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/NO-OV/test/CeO2-03.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -21479.6706835500 	 6	 	 0.034511 NO	 	 0.004878 NO	 	 0.000000 	 	 0.000000 
 	 2 	 -21481.5298150320 	 8	 	 0.033765 NO	 	 0.004655 NO	 	 0.259606 NO	 	 0.037662 NO
 	 3 	 -21481.5354473740 	 8	 	 0.030814 NO	 	 0.004301 NO	 	 0.204781 NO	 	 0.037662 NO
 	 4 	 -21481.5384591500 	 8	 	 0.028158 NO	 	 0.004277 NO	 	 0.168291 NO	 	 0.037662 NO
 	 5 	 -21481.5422819720 	 8	 	 0.024889 NO	 	 0.003963 NO	 	 0.272653 NO	 	 0.037662 NO
 	 6 	 -21481.5472400100 	 8	 	 0.018049 NO	 	 0.003026 NO	 	 0.244209 NO	 	 0.037662 NO
 	 7 	 -21481.5512233040 	 8	 	 0.017795 NO	 	 0.002534 NO	 	 0.184488 NO	 	 0.037662 NO
 	 8 	 -21481.5535411370 	 8	 	 0.019001 NO	 	 0.002376 NO	 	 0.199229 NO	 	 0.037662 NO
 	 9 	 -21481.5572780480 	 8	 	 0.015197 NO	 	 0.002458 NO	 	 0.223312 NO	 	 0.037662 NO
 	 10 	 -21481.5600435060 	 8	 	 0.012581 NO	 	 0.002628 NO	 	 0.189261 NO	 	 0.037662 NO
 	 11 	 -21481.5621880370 	 8	 	 0.016532 NO	 	 0.002793 NO	 	 0.232926 NO	 	 0.037662 NO
 	 12 	 -21481.5635688900 	 8	 	 0.018434 NO	 	 0.003088 NO	 	 0.202894 NO	 	 0.037662 NO
 	 13 	 -21481.5652136360 	 8	 	 0.018874 NO	 	 0.003288 NO	 	 0.296907 NO	 	 0.037662 NO
 	 14 	 -21481.5684333320 	 8	 	 0.020936 NO	 	 0.003309 NO	 	 0.184868 NO	 	 0.037662 NO
 	 15 	 -21481.5725205750 	 8	 	 0.022430 NO	 	 0.003268 NO	 	 0.279098 NO	 	 0.037662 NO
 	 16 	 -21481.5746431880 	 8	 	 0.020318 NO	 	 0.003229 NO	 	 0.132513 NO	 	 0.037662 NO
 	 17 	 -21481.5764488380 	 7	 	 0.021195 NO	 	 0.003145 NO	 	 0.188094 NO	 	 0.037662 NO
 	 18 	 -21481.5799917620 	 8	 	 0.014648 NO	 	 0.002846 NO	 	 0.174138 NO	 	 0.037662 NO
 	 19 	 -21481.5815932810 	 8	 	 0.016289 NO	 	 0.002832 NO	 	 0.260982 NO	 	 0.037662 NO
 	 20 	 -21481.5847448880 	 8	 	 0.018201 NO	 	 0.003022 NO	 	 0.184538 NO	 	 0.037662 NO
 	 21 	 -21481.5859074880 	 8	 	 0.018565 NO	 	 0.003080 NO	 	 0.178517 NO	 	 0.037662 NO
 	 22 	 -21481.5889479640 	 8	 	 0.015463 NO	 	 0.003058 NO	 	 0.167495 NO	 	 0.037662 NO
 	 23 	 -21481.5924036340 	 8	 	 0.014198 NO	 	 0.002872 NO	 	 0.165591 NO	 	 0.037662 NO
 	 24 	 -21481.5947191920 	 8	 	 0.016167 NO	 	 0.002797 NO	 	 0.194101 NO	 	 0.037662 NO
 	 25 	 -21481.5970738480 	 8	 	 0.016304 NO	 	 0.002717 NO	 	 0.214578 NO	 	 0.037662 NO
 	 26 	 -21481.6011344440 	 8	 	 0.019651 NO	 	 0.002663 NO	 	 0.178198 NO	 	 0.037662 NO
 	 27 	 -21481.6039797820 	 8	 	 0.020939 NO	 	 0.002703 NO	 	 0.192629 NO	 	 0.037662 NO
 	 28 	 -21481.6054207290 	 8	 	 0.014468 NO	 	 0.002770 NO	 	 0.049070 NO	 	 0.009416 NO
 	 29 	 -21481.6071793700 	 4	 	 0.012493 NO	 	 0.002515 NO	 	 0.109799 NO	 	 0.018831 NO
 	 30 	 -21481.6100668080 	 8	 	 0.014785 NO	 	 0.002324 NO	 	 0.081438 NO	 	 0.018831 NO
 	 31 	 -21481.6117328230 	 7	 	 0.013484 NO	 	 0.002254 NO	 	 0.090656 NO	 	 0.018831 NO
 	 32 	 -21481.6139171380 	 8	 	 0.010381 NO	 	 0.001926 NO	 	 0.086441 NO	 	 0.018831 NO
 	 33 	 -21481.6156253230 	 7	 	 0.011163 NO	 	 0.001779 NO	 	 0.088320 NO	 	 0.018831 NO
 	 34 	 -21481.6176896360 	 8	 	 0.011619 NO	 	 0.001887 NO	 	 0.093921 NO	 	 0.018831 NO
# Done!
