# Starting Date: Fri Sep 20 18:20:07 AEST 2019
# Termination Date: Fri Sep 20 18:20:10 AEST 2019
# Time Used: 00:03
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/NO-OV/option2
# File: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/NO-OV/option2/CeO2-04.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17658.0802029670 	 42	 	 0.043614 NO	 	 0.007215 NO	 	 0.000000 	 	 0.000000 	           0.000
 	 2 	 -17659.5316510560 	 10	 	 0.047314 NO	 	 0.008002 NO	 	 0.038969 NO	 	 0.007828 NO	           0.125
 	 3 	 -17659.5348721380 	 22	 	 0.044151 NO	 	 0.007427 NO	 	 0.076577 NO	 	 0.015656 NO	           0.250
 	 4 	 -17659.5436355350 	 35	 	 0.031578 NO	 	 0.005187 NO	 	 0.308651 NO	 	 0.031311 NO	           0.500
 	 5 	 -17659.5471599160 	 9	 	 0.020614 NO	 	 0.004783 NO	 	 0.181094 NO	 	 0.031311 NO	           0.500
 	 6 	 -17659.5544599690 	 19	 	 0.017458 NO	 	 0.003775 NO	 	 0.376651 NO	 	 0.062622 NO	           1.000
 	 7 	 -17659.5660264700 	 9	 	 0.036167 NO	 	 0.005122 NO	 	 0.607252 NO	 	 0.062622 NO	           1.000
 	 8 	 -17659.5719790060 	 32	 	 0.042904 NO	 	 0.005500 NO	 	 0.403102 NO	 	 0.062622 NO	           1.000
 	 9 	 -17659.5804290850 	 9	 	 0.052695 NO	 	 0.006497 NO	 	 0.558276 NO	 	 0.125245 NO	           2.000
 	 10 	 -17659.5841050880 	 15	 	 0.056163 NO	 	 0.009360 NO	 	 1.087766 NO	 	 0.125245 NO	           0.000
xxx 	 11 	 -17659.5738125670 	 21	 	 0.056163 NO	 	 0.009360 NO	 	 0.266643 NO	 	 0.031311 NO	           0.500
 	 12 	 -17659.5954269440 	 15	 	 0.038884 NO	 	 0.006362 NO	 	 0.326983 NO	 	 0.031311 NO	           0.500
 	 13 	 -17659.5981271490 	 9	 	 0.030468 NO	 	 0.005497 NO	 	 0.175734 NO	 	 0.031311 NO	           0.500
 	 14 	 -17659.6045464610 	 8	 	 0.033111 NO	 	 0.004968 NO	 	 0.473795 NO	 	 0.062622 NO	           1.000
 	 15 	 -17659.6109644250 	 8	 	 0.029511 NO	 	 0.006037 NO	 	 0.488880 NO	 	 0.062622 NO	           1.000
 	 16 	 -17659.6180269140 	 8	 	 0.026949 NO	 	 0.006025 NO	 	 0.450474 NO	 	 0.062622 NO	           1.000
