# File Starting Date: 25 01 2020 TIME 16:25:53.3
# Directory: /scratch/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/NEAR-OV-2nd-H2O
# File: /scratch/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/NEAR-OV-2nd-H2O/CeO2-02.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17582.9709914970 	 8	 	 0.004249 NO	 	 0.000876 NO	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17584.4267601400 	 12	 	 0.004249 NO	 	 0.000876 NO	 	 0.072970 NO	 	 0.007874 NO	           0.125
 	 3 	 -17584.4280464070 	 8	 	 0.003812 NO	 	 0.000786 NO	 	 0.085443 NO	 	 0.015749 NO	           0.250
xxx 	 4 	 -17584.4279399080 	 10	 	 0.003812 NO	 	 0.000786 NO	 	 0.023375 NO	 	 0.003937 NO	           0.062
 	 5 	 -17584.4282224290 	 8	 	 0.002459 NO	 	 0.000505 NO	 	 0.061360 NO	 	 0.007874 NO	           0.125
 	 6 	 -17584.4282870040 	 7	 	 0.003091 NO	 	 0.000380 NO	 	 0.054308 NO	 	 0.007874 NO	           0.125
 	 7 	 -17584.4283434410 	 7	 	 0.001998 NO	 	 0.000453 NO	 	 0.055671 NO	 	 0.007874 NO	           0.125
 	 8 	 -17584.4284053360 	 8	 	 0.002971 NO	 	 0.000456 NO	 	 0.055094 NO	 	 0.007874 NO	           0.125
 	 9 	 -17584.4285444390 	 8	 	 0.003044 NO	 	 0.000513 NO	 	 0.090812 NO	 	 0.015749 NO	           0.250
xxx 	 10 	 -17584.4284257100 	 8	 	 0.003044 NO	 	 0.000513 NO	 	 0.021441 NO	 	 0.003937 NO	           0.062
 	 11 	 -17584.4286165520 	 7	 	 0.002365 NO	 	 0.000428 NO	 	 0.041140 NO	 	 0.007874 NO	           0.125
 	 12 	 -17584.4286643680 	 8	 	 0.001350 NO	 	 0.000368 NO	 	 0.051680 NO	 	 0.007874 NO	           0.125
 	 13 	 -17584.4287015970 	 8	 	 0.002462 NO	 	 0.000461 NO	 	 0.060780 NO	 	 0.007874 NO	           0.125
 	 14 	 -17584.4287713990 	 8	 	 0.002532 NO	 	 0.000466 NO	 	 0.040474 NO	 	 0.007874 NO	           0.125
 	 15 	 -17584.4288733170 	 7	 	 0.001896 NO	 	 0.000394 NO	 	 0.052473 NO	 	 0.007874 NO	           0.125
 	 16 	 -17584.4288949360 	 8	 	 0.003240 NO	 	 0.000533 NO	 	 0.012151 NO	 	 0.001969 NO	           0.031
 	 17 	 -17584.4289547030 	 8	 	 0.002390 NO	 	 0.000447 NO	 	 0.018656 NO	 	 0.003937 NO	           0.062
 	 18 	 -17584.4290379730 	 8	 	 0.001111 NO	 	 0.000269 YES	 	 0.021187 NO	 	 0.003937 NO	           0.062
 	 19 	 -17584.4290626760 	 7	 	 0.000849 NO	 	 0.000249 YES	 	 0.026628 NO	 	 0.003937 NO	           0.062
 	 20 	 -17584.4290834320 	 8	 	 0.001089 NO	 	 0.000264 YES	 	 0.022040 NO	 	 0.003937 NO	           0.062
 	 21 	 -17584.4291236780 	 8	 	 0.000873 NO	 	 0.000214 YES	 	 0.056376 NO	 	 0.007874 NO	           0.125
 	 22 	 -17584.4291506320 	 8	 	 0.001437 NO	 	 0.000269 YES	 	 0.048432 NO	 	 0.007874 NO	           0.125
 	 23 	 -17584.4291617990 	 7	 	 0.000863 NO	 	 0.000232 YES	 	 0.041533 NO	 	 0.007874 NO	           0.125
xxx 	 24 	 -17584.4291613760 	 8	 	 0.000863 NO	 	 0.000232 YES	 	 0.012135 NO	 	 0.001969 NO	           0.031
 	 25 	 -17584.4291790310 	 8	 	 0.000889 NO	 	 0.000240 YES	 	 0.027775 NO	 	 0.003937 NO	           0.062
 	 26 	 -17584.4292031510 	 8	 	 0.000767 NO	 	 0.000192 YES	 	 0.020708 NO	 	 0.003937 NO	           0.062
 	 27 	 -17584.4292229560 	 7	 	 0.000684 NO	 	 0.000185 YES	 	 0.020148 NO	 	 0.003937 NO	           0.062
xxx 	 28 	 -17584.4292037300 	 8	 	 0.000684 NO	 	 0.000185 YES	 	 0.006291 NO	 	 0.000984 YES	           0.016
 	 29 	 -17584.4292266710 	 8	 	 0.000810 NO	 	 0.000185 YES	 	 0.013361 NO	 	 0.001969 NO	           0.031
