# Starting Date: Mon Dec  9 15:14:45 AEDT 2019
# Termination Date: Mon Dec  9 15:14:49 AEDT 2019
# Time Used: 00:04
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/option1/NN-NNN
# File: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/option1/NN-NNN/CeO2-07.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17582.9782174580 	 391	 	 0.001571 NO	 	 0.000295 YES	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17584.4425392260 	 34	 	 0.001571 NO	 	 0.000295 YES	 	 0.048578 NO	 	 0.007874 NO	           0.125
 	 3 	 -17584.4433701230 	 18	 	 0.001488 NO	 	 0.000321 NO	 	 0.076142 NO	 	 0.015749 NO	           0.250
xxx 	 4 	 -17584.4432528050 	 53	 	 0.001488 NO	 	 0.000321 NO	 	 0.025794 NO	 	 0.003937 NO	           0.062
 	 5 	 -17584.4434994450 	 25	 	 0.001112 NO	 	 0.000261 YES	 	 0.050364 NO	 	 0.007874 NO	           0.125
 	 6 	 -17584.4435166750 	 25	 	 0.001386 NO	 	 0.000348 NO	 	 0.011920 NO	 	 0.001969 NO	           0.031
 	 7 	 -17584.4435808710 	 8	 	 0.001245 NO	 	 0.000284 YES	 	 0.020631 NO	 	 0.003937 NO	           0.062
 	 8 	 -17584.4436360710 	 8	 	 0.001180 NO	 	 0.000260 YES	 	 0.063737 NO	 	 0.007874 NO	           0.125
xxx 	 9 	 -17584.4436300310 	 17	 	 0.001180 NO	 	 0.000260 YES	 	 0.018167 NO	 	 0.001969 NO	           0.031
 	 10 	 -17584.4436965790 	 15	 	 0.000834 NO	 	 0.000245 YES	 	 0.022346 NO	 	 0.003937 NO	           0.062
 	 11 	 -17584.4437343810 	 12	 	 0.000819 NO	 	 0.000180 YES	 	 0.036140 NO	 	 0.003937 NO	           0.062
 	 12 	 -17584.4437627560 	 14	 	 0.000793 NO	 	 0.000223 YES	 	 0.035235 NO	 	 0.003937 NO	           0.062
 	 13 	 -17584.4437846040 	 13	 	 0.000769 NO	 	 0.000206 YES	 	 0.021350 NO	 	 0.003937 NO	           0.062
 	 14 	 -17584.4437993760 	 8	 	 0.001091 NO	 	 0.000217 YES	 	 0.021577 NO	 	 0.003937 NO	           0.062
 	 15 	 -17584.4438137000 	 8	 	 0.000965 NO	 	 0.000209 YES	 	 0.020463 NO	 	 0.003937 NO	           0.062
 	 16 	 -17584.4438332310 	 8	 	 0.000919 NO	 	 0.000206 YES	 	 0.018412 NO	 	 0.003937 NO	           0.062
 	 17 	 -17584.4438399180 	 11	 	 0.000987 NO	 	 0.000192 YES	 	 0.005778 NO	 	 0.000984 YES	           0.016
 	 18 	 -17584.4438633430 	 8	 	 0.000867 NO	 	 0.000178 YES	 	 0.013447 NO	 	 0.001969 NO	           0.031
 	 19 	 -17584.4438917220 	 8	 	 0.000349 YES	 	 0.000093 YES	 	 0.027574 NO	 	 0.003937 NO	           0.062
 	 20 	 -17584.4438989560 	 8	 	 0.000469 NO	 	 0.000119 YES	 	 0.030320 NO	 	 0.003937 NO	           0.062
 	 21 	 -17584.4439027560 	 10	 	 0.000915 NO	 	 0.000126 YES	 	 0.025218 NO	 	 0.003937 NO	           0.062
 	 22 	 -17584.4439170150 	 12	 	 0.000592 NO	 	 0.000144 YES	 	 0.042138 NO	 	 0.007874 NO	           0.125
xxx 	 23 	 -17584.4438956980 	 13	 	 0.000592 NO	 	 0.000144 YES	 	 0.012335 NO	 	 0.001969 NO	           0.031
 	 24 	 -17584.4439407890 	 12	 	 0.000529 NO	 	 0.000141 YES	 	 0.020377 NO	 	 0.003937 NO	           0.062
 	 25 	 -17584.4439475020 	 10	 	 0.000476 NO	 	 0.000116 YES	 	 0.063266 NO	 	 0.007874 NO	           0.125
xxx 	 26 	 -17584.4439297270 	 13	 	 0.000476 NO	 	 0.000116 YES	 	 0.016820 NO	 	 0.001969 NO	           0.031
 	 27 	 -17584.4439667240 	 14	 	 0.000512 NO	 	 0.000110 YES	 	 0.031113 NO	 	 0.003937 NO	           0.062
xxx 	 28 	 -17584.4439646500 	 11	 	 0.000512 NO	 	 0.000110 YES	 	 0.007102 NO	 	 0.000984 YES	           0.016
 	 29 	 -17584.4439825190 	 12	 	 0.000480 NO	 	 0.000104 YES	 	 0.009973 NO	 	 0.001969 NO	           0.031
 	 30 	 -17584.4439920500 	 10	 	 0.000591 NO	 	 0.000130 YES	 	 0.017079 NO	 	 0.003937 NO	           0.062
xxx 	 31 	 -17584.4439917160 	 13	 	 0.000591 NO	 	 0.000130 YES	 	 0.004547 NO	 	 0.000984 YES	           0.016
 	 32 	 -17584.4440060140 	 12	 	 0.000609 NO	 	 0.000135 YES	 	 0.011161 NO	 	 0.001969 NO	           0.031
 	 33 	 -17584.4440111940 	 11	 	 0.000521 NO	 	 0.000103 YES	 	 0.010370 NO	 	 0.001969 NO	           0.031
 	 34 	 -17584.4440205010 	 11	 	 0.000496 NO	 	 0.000116 YES	 	 0.020754 NO	 	 0.003937 NO	           0.062
xxx 	 35 	 -17584.4440169110 	 16	 	 0.000496 NO	 	 0.000116 YES	 	 0.005340 NO	 	 0.000984 YES	           0.016
 	 36 	 -17584.4440330640 	 12	 	 0.000517 NO	 	 0.000114 YES	 	 0.011413 NO	 	 0.001969 NO	           0.031
 	 37 	 -17584.4440342640 	 11	 	 0.000537 NO	 	 0.000122 YES	 	 0.002755 NO	 	 0.000492 YES	           0.008
 	 38 	 -17584.4440447540 	 11	 	 0.000468 NO	 	 0.000104 YES	 	 0.007733 NO	 	 0.000984 YES	           0.016
 	 39 	 -17584.4440471160 	 12	 	 0.000534 NO	 	 0.000109 YES	 	 0.004194 NO	 	 0.000882 YES	           0.031
 	 40 	 -17584.4440554500 	 11	 	 0.000497 NO	 	 0.000103 YES	 	 0.012916 NO	 	 0.003153 NO	           0.062
xxx 	 41 	 -17584.4440508900 	 13	 	 0.000497 NO	 	 0.000103 YES	 	 0.004004 NO	 	 0.000788 YES	           0.013
 	 42 	 -17584.4440635980 	 11	 	 0.000509 NO	 	 0.000105 YES	 	 0.009635 NO	 	 0.001577 NO	           0.025
