# Starting Date: Thu Jul 18 09:33:15 AEST 2019
# Termination Date: Thu Jul 18 09:33:17 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/FAR-OV-H2O
# File: CeO2-25.out
# Cycle Number | Total Energy (Ha) | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17582.9747405650	 0.002679 NO	 	 0.000630 NO	 	 0.000000 	 	 0.000000 
 	 2 	 -17584.4392145710	 0.002679 NO	 	 0.000630 NO	 	 0.064995 NO	 	 0.007874 NO
 	 3 	 -17584.4409131990	 0.002624 NO	 	 0.000606 NO	 	 0.059773 NO	 	 0.007874 NO
 	 4 	 -17584.4409320650	 0.003023 NO	 	 0.000640 NO	 	 0.013322 NO	 	 0.001969 NO
 	 5 	 -17584.4410607310	 0.003477 NO	 	 0.000686 NO	 	 0.028323 NO	 	 0.003937 NO
 	 6 	 -17584.4413622150	 0.003405 NO	 	 0.000682 NO	 	 0.097416 NO	 	 0.007874 NO
 	 7 	 -17584.4415807110	 0.002820 NO	 	 0.000631 NO	 	 0.128450 NO	 	 0.015749 NO
 	 8 	 -17584.4417343530	 0.002491 NO	 	 0.000709 NO	 	 0.069868 NO	 	 0.015749 NO
 	 9 	 -17584.4418241340	 0.003045 NO	 	 0.000715 NO	 	 0.120881 NO	 	 0.015749 NO
 	 10 	 -17584.4420231620	 0.004221 NO	 	 0.000761 NO	 	 0.120811 NO	 	 0.015749 NO
 	 11 	 -17584.4420567760	 0.003339 NO	 	 0.000807 NO	 	 0.020990 NO	 	 0.003937 NO
 	 12 	 -17584.4421959660	 0.002314 NO	 	 0.000604 NO	 	 0.065003 NO	 	 0.007874 NO
 	 13 	 -17584.4422747020	 0.003124 NO	 	 0.000730 NO	 	 0.041697 NO	 	 0.007874 NO
 	 14 	 -17584.4423717050	 0.002131 NO	 	 0.000515 NO	 	 0.054615 NO	 	 0.007874 NO
 	 15 	 -17584.4425179390	 0.003386 NO	 	 0.000619 NO	 	 0.057747 NO	 	 0.007874 NO
 	 16 	 -17584.4426466020	 0.001998 NO	 	 0.000479 NO	 	 0.050093 NO	 	 0.007874 NO
 	 17 	 -17584.4427653570	 0.002751 NO	 	 0.000557 NO	 	 0.043396 NO	 	 0.007874 NO
 	 18 	 -17584.4428723490	 0.003114 NO	 	 0.000492 NO	 	 0.042107 NO	 	 0.007874 NO
 	 19 	 -17584.4429352680	 0.002507 NO	 	 0.000575 NO	 	 0.046164 NO	 	 0.007874 NO
 	 20 	 -17584.4430021210	 0.001781 NO	 	 0.000391 NO	 	 0.040958 NO	 	 0.007874 NO
 	 21 	 -17584.4430668580	 0.002519 NO	 	 0.000456 NO	 	 0.056143 NO	 	 0.007874 NO
 	 22 	 -17584.4430951000	 0.003725 NO	 	 0.000541 NO	 	 0.015255 NO	 	 0.001969 NO
 	 23 	 -17584.4431421750	 0.003019 NO	 	 0.000563 NO	 	 0.015783 NO	 	 0.003937 NO
 	 24 	 -17584.4432524040	 0.001232 NO	 	 0.000292 YES	 	 0.027940 NO	 	 0.003937 NO
 	 25 	 -17584.4432375960	 0.001232 NO	 	 0.000292 YES	 	 0.007146 NO	 	 0.000984 YES
 	 26 	 -17584.4432186490	 0.001232 NO	 	 0.000292 YES	 	 0.001572 YES	 	 0.000246 YES
 	 27 	 -17584.4432453790	 0.001232 NO	 	 0.000292 YES	 	 0.000320 YES	 	 0.000062 YES
 	 28 	 -17584.4432167850	 0.001232 NO	 	 0.000292 YES	 	 0.000071 YES	 	 0.000015 YES
 	 29 	 -17584.4432227970	 0.001232 NO	 	 0.000292 YES	 	 0.000015 YES	 	 0.000004 YES
 	 30 	 -17584.4432413410	 0.001232 NO	 	 0.000292 YES	 	 0.000003 YES	 	 0.000001 YES
# Done!
