# Starting Date: Tue Jul 23 13:59:37 AEST 2019
# Termination Date: Tue Jul 23 13:59:38 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/FAR-OV-H2O
# File: CeO2-26.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
	 1 	 -17582.9784677330 	 14	 	 0.001217 NO	 	 0.000326 NO	 	 0.000000 	 	 0.000000 
	 2 	 -17584.4428538310 	 12	 	 0.001217 NO	 	 0.000326 NO	 	 0.052617 NO	 	 0.007874 NO
	 3 	 -17584.4438536520 	 14	 	 0.001217 NO	 	 0.000326 NO	 	 0.013716 NO	 	 0.001969 NO
	 4 	 -17584.4439167380 	 10	 	 0.001257 NO	 	 0.000338 NO	 	 0.025514 NO	 	 0.003937 NO
	 5 	 -17584.4439274350 	 9	 	 0.001427 NO	 	 0.000288 YES	 	 0.037367 NO	 	 0.003937 NO
	 6 	 -17584.4439523520 	 10	 	 0.001117 NO	 	 0.000248 YES	 	 0.023233 NO	 	 0.003937 NO
	 7 	 -17584.4439571260 	 11	 	 0.001304 NO	 	 0.000313 NO	 	 0.005052 NO	 	 0.000984 YES
	 8 	 -17584.4439762500 	 9	 	 0.001327 NO	 	 0.000304 NO	 	 0.012891 NO	 	 0.001969 NO
	 9 	 -17584.4439876280 	 10	 	 0.001158 NO	 	 0.000282 YES	 	 0.013069 NO	 	 0.001969 NO
	 10 	 -17584.4440059300 	 11	 	 0.000838 NO	 	 0.000230 YES	 	 0.020793 NO	 	 0.003937 NO
	 11 	 -17584.4440160990 	 12	 	 0.000928 NO	 	 0.000202 YES	 	 0.020423 NO	 	 0.003937 NO
	 12 	 -17584.4440238750 	 14	 	 0.000947 NO	 	 0.000226 YES	 	 0.005128 NO	 	 0.000984 YES
	 13 	 -17584.4440285270 	 12	 	 0.000974 NO	 	 0.000232 YES	 	 0.006332 NO	 	 0.000984 YES
	 14 	 -17584.4440444710 	 11	 	 0.000849 NO	 	 0.000198 YES	 	 0.013454 NO	 	 0.001969 NO
	 15 	 -17584.4440457290 	 13	 	 0.000847 NO	 	 0.000202 YES	 	 0.003491 NO	 	 0.000492 YES
	 16 	 -17584.4440567910 	 11	 	 0.000584 NO	 	 0.000165 YES	 	 0.005157 NO	 	 0.000984 YES
	 17 	 -17584.4440621110 	 12	 	 0.000798 NO	 	 0.000168 YES	 	 0.006551 NO	 	 0.000984 YES
	 18 	 -17584.4440727060 	 12	 	 0.000615 NO	 	 0.000137 YES	 	 0.015070 NO	 	 0.001969 NO
	 19 	 -17584.4440731660 	 14	 	 0.000631 NO	 	 0.000145 YES	 	 0.002515 NO	 	 0.000492 YES
	 20 	 -17584.4440806990 	 11	 	 0.000573 NO	 	 0.000131 YES	 	 0.007289 NO	 	 0.000984 YES
xxx	 21 	 -17584.4440781440 	 15	 	 0.000573 NO	 	 0.000131 YES	 	 0.001934 NO	 	 0.000246 YES
	 22 	 -17584.4440844820 	 12	 	 0.000574 NO	 	 0.000126 YES	 	 0.003502 NO	 	 0.000492 YES
xxx	 23 	 -17584.4440800950 	 15	 	 0.000574 NO	 	 0.000126 YES	 	 0.000726 YES	 	 0.000123 YES
# Done!
