# Starting Date: Mon Dec  9 08:41:24 AEDT 2019
# Termination Date: Mon Dec  9 08:41:25 AEDT 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/option3/NN-NNN
# File: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/option3/NN-NNN/CeO2-05.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17583.0018914500 	 84	 	 0.001847 NO	 	 0.000433 NO	 	 0.000000 	 	 0.000000 	           0.000
xxx 	 2 	 -17584.4664887460 	 62	 	 0.001847 NO	 	 0.000433 NO	 	 0.051496 NO	 	 0.007874 NO	           0.125
xxx 	 3 	 -17584.4678888950 	 41	 	 0.001847 NO	 	 0.000433 NO	 	 0.012411 NO	 	 0.001969 NO	           0.031
xxx 	 4 	 -17584.4679547980 	 9	 	 0.001847 NO	 	 0.000433 NO	 	 0.002839 NO	 	 0.000492 YES	           0.008
 	 5 	 -17584.4684309890 	 20	 	 0.001744 NO	 	 0.000266 YES	 	 0.007503 NO	 	 0.000984 YES	           0.016
xxx 	 6 	 -17584.4679505060 	 24	 	 0.001744 NO	 	 0.000266 YES	 	 0.001594 YES	 	 0.000246 YES	           0.004
xxx 	 7 	 -17584.4679467100 	 17	 	 0.001744 NO	 	 0.000266 YES	 	 0.000308 YES	 	 0.000062 YES	           0.001
xxx 	 8 	 -17584.4679432440 	 24	 	 0.001744 NO	 	 0.000266 YES	 	 0.000070 YES	 	 0.000015 YES	           0.000
 	 9 	 -17584.4684417920 	 17	 	 0.001743 NO	 	 0.000264 YES	 	 0.000202 YES	 	 0.000031 YES	           0.000
xxx 	 10 	 -17584.4679466360 	 25	 	 0.001743 NO	 	 0.000264 YES	 	 0.000051 YES	 	 0.000008 YES	           0.000
xxx 	 11 	 -17584.4679474330 	 17	 	 0.001743 NO	 	 0.000264 YES	 	 0.000013 YES	 	 0.000002 YES	           0.000
 	 12 	 -17584.4684441560 	 25	 	 0.001863 NO	 	 0.000404 NO	 	 0.000019 YES	 	 0.000004 YES	           0.000
 	 13 	 -17584.4684467580 	 17	 	 0.001739 NO	 	 0.000264 YES	 	 0.000051 YES	 	 0.000008 YES	           0.000
xxx 	 14 	 -17584.4679492060 	 25	 	 0.001739 NO	 	 0.000264 YES	 	 0.000013 YES	 	 0.000002 YES	           0.000
 	 15 	 -17584.4684491960 	 18	 	 0.001740 NO	 	 0.000265 YES	 	 0.000024 YES	 	 0.000004 YES	           0.000
xxx 	 16 	 -17584.4679507640 	 24	 	 0.001740 NO	 	 0.000265 YES	 	 0.000006 YES	 	 0.000001 YES	           0.000
xxx 	 17 	 -17584.4679522210 	 17	 	 0.001740 NO	 	 0.000265 YES	 	 0.000266 YES	 	 0.000063 YES	           0.000
 	 18 	 -17584.4679868490 	 25	 	 0.001867 NO	 	 0.000404 NO	 	 0.000279 YES	 	 0.000063 YES	           0.000
 	 19 	 -17584.4679907310 	 18	 	 0.001748 NO	 	 0.000266 YES	 	 0.000420 YES	 	 0.000063 YES	           0.001
# Done!
