# Starting Date: Fri Jul 19 10:37:26 AEST 2019
# Termination Date: Fri Jul 19 10:37:27 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/NEAR-OV-H2O
# File: CeO2-36.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17582.9746875570 	 5	 0.002038 NO	 	 0.000426 NO	 	 0.000000 	 	 0.000000 
 	 2 	 -17584.4423881870 	 18	 0.002038 NO	 	 0.000426 NO	 	 0.085136 NO	 	 0.007874 NO
 	 3 	 -17584.4445496930 	 11	 0.002689 NO	 	 0.000429 NO	 	 0.014185 NO	 	 0.001969 NO
 	 4 	 -17584.4446138670 	 5	 0.002352 NO	 	 0.000362 NO	 	 0.024048 NO	 	 0.003937 NO
 	 5 	 -17584.4446951890 	 115	 0.001374 NO	 	 0.000267 YES	 	 0.025435 NO	 	 0.003937 NO
 	 6 	 -17584.4447492320 	 116	 0.000838 NO	 	 0.000186 YES	 	 0.032881 NO	 	 0.003937 NO
 	 7 	 -17584.4447774300 	 5	 0.000911 NO	 	 0.000152 YES	 	 0.022345 NO	 	 0.003937 NO
 	 8 	 -17584.4447860450 	 5	 0.000923 NO	 	 0.000158 YES	 	 0.019276 NO	 	 0.003937 NO
 	 9 	 -17584.4447847090 	 5	 0.000923 NO	 	 0.000158 YES	 	 0.004368 NO	 	 0.000984 YES
 	 10 	 -17584.4447937840 	 5	 0.001019 NO	 	 0.000160 YES	 	 0.010360 NO	 	 0.001969 NO
 	 11 	 -17584.4448103630 	 5	 0.000763 NO	 	 0.000150 YES	 	 0.021508 NO	 	 0.003937 NO
 	 12 	 -17584.4448290990 	 5	 0.000668 NO	 	 0.000148 YES	 	 0.032618 NO	 	 0.003937 NO
 	 13 	 -17584.4448375920 	 5	 0.000631 NO	 	 0.000143 YES	 	 0.020319 NO	 	 0.003937 NO
 	 14 	 -17584.4448420190 	 5	 0.000572 NO	 	 0.000143 YES	 	 0.005328 NO	 	 0.000984 YES
 	 15 	 -17584.4448493230 	 5	 0.000571 NO	 	 0.000139 YES	 	 0.011274 NO	 	 0.001969 NO
 	 16 	 -17584.4448621340 	 5	 0.000536 NO	 	 0.000126 YES	 	 0.020172 NO	 	 0.003937 NO
 	 17 	 -17584.4448681170 	 5	 0.000498 NO	 	 0.000118 YES	 	 0.025218 NO	 	 0.003937 NO
 	 18 	 -17584.4448760310 	 5	 0.000691 NO	 	 0.000122 YES	 	 0.038244 NO	 	 0.003937 NO
 	 19 	 -17584.4448855900 	 5	 0.000451 NO	 	 0.000111 YES	 	 0.020158 NO	 	 0.003937 NO
 	 20 	 -17584.4448970040 	 5	 0.000356 YES	 	 0.000095 YES	 	 0.023295 NO	 	 0.003937 NO
 	 21 	 -17584.4448987840 	 5	 0.000374 YES	 	 0.000098 YES	 	 0.005747 NO	 	 0.000984 YES
 	 22 	 -17584.4449068150 	 5	 0.000375 YES	 	 0.000080 YES	 	 0.009479 NO	 	 0.001969 NO
 	 23 	 -17584.4449159750 	 5	 0.000386 YES	 	 0.000070 YES	 	 0.021316 NO	 	 0.003937 NO
 	 24 	 -17584.4449247250 	 5	 0.000402 YES	 	 0.000090 YES	 	 0.018391 NO	 	 0.003937 NO
 	 25 	 -17584.4449214660 	 5	 0.000402 YES	 	 0.000090 YES	 	 0.004726 NO	 	 0.000984 YES
 	 26 	 -17584.4449301240 	 5	 0.000287 YES	 	 0.000071 YES	 	 0.008185 NO	 	 0.001969 NO
 	 27 	 -17584.4449357610 	 5	 0.000233 YES	 	 0.000068 YES	 	 0.024057 NO	 	 0.003937 NO
 	 28 	 -17584.4449373690 	 5	 0.000393 YES	 	 0.000095 YES	 	 0.005900 NO	 	 0.000984 YES
 	 29 	 -17584.4449454170 	 5	 0.000228 YES	 	 0.000067 YES	 	 0.010156 NO	 	 0.001969 NO
 	 30 	 -17584.4449520520 	 5	 0.000241 YES	 	 0.000057 YES	 	 0.017865 NO	 	 0.003937 NO
 	 31 	 -17584.4449560770 	 5	 0.000478 NO	 	 0.000082 YES	 	 0.012674 NO	 	 0.002773 NO
 	 32 	 -17584.4449602060 	 5	 0.000199 YES	 	 0.000054 YES	 	 0.007414 NO	 	 0.001884 NO
 	 33 	 -17584.4449621950 	 125	 0.000137 YES	 	 0.000039 YES	 	 0.006666 NO	 	 0.001689 NO
# Done!
